"ACCIDENT_NO","NODE_ID","COMPLEX_INT_NO"
"T20060017336","49,818","7,673"
"T20060017435","45,344","9,059"
"T20060017540","55,666","101,537"
"T20060017546","52,250","104,462"
"T20060017647","46,463","6,224"
"T20060017665","42,791","6,316"
"T20060017759","83","9,299"
"T20060017796","43,133","101,199"
"T20060017822","65,993","5,311"
"T20060017831","46,731","104,272"
"T20060017846","11,171","9,243"
"T20060018013","41,777","5,790"
"T20060018067","44,459","7,800"
"T20060018157","55,325","8,595"
"T20060018229","48,959","9,301"
"T20060018278","49,935","7,701"
"T20060018299","42,590","6,184"
"T20060018471","41,016","5,469"
"T20060018539","29,700","6,404"
"T20060018614","40,576","5,599"
"T20060018715","17,632","3,139"
"T20060018815","33,879","1,002"
"T20060018844","41,271","5,700"
"T20060018924","29,372","9,209"
"T20060018971","721","5,995"
"T20060019026","50,179","7,795"
"T20060019093","57,542","5,771"
"T20060019093","57,542","104,334"
"T20060019296","41,833","5,915"
"T20060019320","35,526","5,413"
"T20060019559","32,079","106,094"
"T20060019597","242","9,424"
"T20060019638","55,675","7,554"
"T20060019687","204,473","103,868"
"T20060019723","10,381","1,002"
"T20060019818","41,667","5,899"
"T20060019956","43,027","6,301"
"T20060019967","29,416","9,375"
"T20060020007","36,731","5,673"
"T20060020093","43,287","6,470"
"T20060020144","42,411","6,087"
"T20060020172","37,592","9,490"
"T20060020183","44,972","9,011"
"T20060020204","26,280","5,998"
"T20060020261","43,152","6,282"
"T20060020343","54,466","1,243"
"T20060020382","36,809","5,939"
"T20060020444","42,575","6,162"
"T20060020470","38,794","102,794"
"T20060020569","48,334","7,631"
"T20060020578","55,679","7,655"
"T20060020583","37,587","9,463"
"T20060020622","52,777","2,252"
"T20060020676","15,406","7,725"
"T20060020687","44,317","9,599"
"T20060020694","40,205","5,672"
"T20060020697","45,937","5,292"
"T20060020809","43,287","6,470"
"T20060020899","45,881","1,030"
"T20060020970","56,203","100,873"
"T20060020992","54,453","9,413"
"T20060021013","57,538","5,762"
"T20060021013","57,538","100,943"
"T20060021113","46,085","1,000"
"T20060021128","57,542","5,771"
"T20060021128","57,542","104,334"
"T20060021135","42,658","6,174"
"T20060021186","41,734","5,872"
"T20060021284","50,841","3,017"
"T20060021286","36,210","9,279"
"T20060021309","39,267","5,276"
"T20060021350","35,778","1,028"
"T20060021407","33,879","1,002"
"T20060021422","793","1,000"
"T20060021422","793","6,086"
"T20060021443","53,088","2,336"
"T20060021449","56,049","100,890"
"T20060021460","42,474","6,050"
"T20060021467","16,750","7,555"
"T20060021586","957","6,703"
"T20060021596","55,704","103,947"
"T20060021631","42,746","6,207"
"T20060021672","55,706","4,023"
"T20060021742","35,416","5,526"
"T20060021811","43,027","6,301"
"T20060021838","47,518","100,903"
"T20060021912","53,513","1,232"
"T20060021913","33,879","1,002"
"T20060021922","35,451","8,750"
"T20060021924","57,544","100,891"
"T20060021932","29,945","7,708"
"T20060021933","42,360","100,577"
"T20060021985","42,750","6,234"
"T20060022051","49,997","7,717"
"T20060022127","29,773","6,797"
"T20060022138","29,893","1,001"
"T20060022144","238,698","5,359"
"T20060022207","43,766","101,639"
"T20060022235","40,158","5,590"
"T20060022246","204,654","9,437"
"T20060022267","44,796","1,344"
"T20060022334","41,896","5,707"
"T20060022398","204,677","6,179"
"T20060022442","30,110","4,082"
"T20060022482","55,710","104,574"
"T20060022515","43,365","100,546"
"T20060022553","35,740","9,411"
"T20060022583","41,191","102,041"
"T20060022586","41,453","5,880"
"T20060022594","10,381","1,002"
"T20060022718","55,714","5,890"
"T20060022765","46,716","5,882"
"T20060022820","45,642","9,183"
"T20060022829","167","8,669"
"T20060022842","73,150","1,257"
"T20060022860","55,719","6,562"
"T20060022873","35,862","8,776"
"T20060022891","35,304","9,276"
"T20060022931","40,914","5,669"
"T20060022961","54,453","9,413"
"T20060023048","43,027","6,301"
"T20060023057","52,225","1,211"
"T20060023075","10,381","1,002"
"T20060023076","57,648","6,672"
"T20060023083","41,039","5,667"
"T20060023093","43,061","6,385"
"T20060023130","29,813","9,115"
"T20060023137","10,919","6,651"
"T20060023158","35,970","102,237"
"T20060023172","41,145","104,623"
"T20060023196","55,721","8,916"
"T20060023314","35,620","6,351"
"T20060023406","15,405","7,707"
"T20060023434","49,975","7,711"
"T20060023446","54,089","6,083"
"T20060023562","29,618","5,570"
"T20060023593","54,466","1,243"
"T20060023595","50,059","105,623"
"T20060023698","40,426","5,620"
"T20060023728","55,730","6,416"
"T20060023767","49,729","7,629"
"T20060023800","42,320","6,068"
"T20060023808","55,791","6,194"
"T20060023820","36,230","9,314"
"T20060023834","211,932","5,433"
"T20060023850","39,815","101,052"
"T20060023860","44,633","8,991"
"T20060023924","29,746","6,456"
"T20060023960","42,467","6,083"
"T20060023981","57,539","5,760"
"T20060024054","37,624","106,078"
"T20060024209","204,978","1,001"
"T20060024258","713","5,957"
"T20060024265","37,164","8,624"
"T20060024318","40,650","5,527"
"T20060024417","44,014","6,846"
"T20060024419","38,572","8,805"
"T20060024484","47,857","5,825"
"T20060024496","35,662","8,601"
"T20060024506","50,370","7,999"
"T20060024550","53,382","2,289"
"T20060024579","37,164","8,624"
"T20060024668","29,549","5,300"
"T20060024753","26,300","105,989"
"T20060024781","36,782","6,448"
"T20060024869","37,452","100,635"
"T20060024884","40,679","8,954"
"T20060024890","37,496","5,124"
"T20060024934","55,755","6,102"
"T20060025010","44,660","8,820"
"T20060025013","886","6,489"
"T20060025094","713","5,957"
"T20060025132","10,475","1,028"
"T20060025185","58,925","3,077"
"T20060025262","41,749","5,734"
"T20060025316","37,894","9,038"
"T20060025389","876","6,270"
"T20060025442","795","6,010"
"T20060025448","38,132","103,806"
"T20060025461","35,619","6,344"
"T20060025462","35,304","9,276"
"T20060025486","39,528","5,326"
"T20060025486","39,528","106,090"
"T20060025488","42,805","6,348"
"T20060025524","48,129","7,699"
"T20060025556","42,538","6,094"
"T20060025577","52,973","102,710"
"T20060025617","57,408","9,048"
"T20060025617","57,408","102,169"
"T20060025662","55,763","103,745"
"T20060025695","40,134","100,903"
"T20060025706","41,965","5,792"
"T20060025754","29,746","6,456"
"T20060025781","57,544","100,891"
"T20060025784","46,837","5,498"
"T20060025855","42,065","8,922"
"T20060025868","35,740","9,411"
"T20060025877","10,381","1,002"
"T20060025918","38,098","9,032"
"T20060025967","949","6,684"
"T20060026143","47,550","6,775"
"T20060026172","376","102,938"
"T20060026191","55,756","102,976"
"T20060026206","56,226","103,782"
"T20060026276","478","5,254"
"T20060026284","55,776","100,562"
"T20060026293","36,797","8,602"
"T20060026297","33,879","1,002"
"T20060026315","2,802","101,246"
"T20060026326","44,986","9,015"
"T20060026391","53,892","7,653"
"T20060026463","49,695","1,027"
"T20060026472","39,281","5,375"
"T20060026513","876","6,270"
"T20060026539","49,750","7,643"
"T20060026543","54,191","9,407"
"T20060026566","19,433","105,656"
"T20060026572","54,721","8,000"
"T20060026588","40,650","5,527"
"T20060026613","533","8,871"
"T20060026625","52,110","1,153"
"T20060026713","38,499","9,385"
"T20060026791","33,879","1,002"
"T20060026799","42,659","6,106"
"T20060026843","45,413","9,076"
"T20060026860","29,893","1,001"
"T20060026891","323","104,099"
"T20060026977","37,170","9,420"
"T20060027056","55,780","5,216"
"T20060027197","42,752","6,315"
"T20060027212","45,508","100,061"
"T20060027221","53,061","100,881"
"T20060027233","36,982","9,440"
"T20060027237","35,387","9,426"
"T20060027359","42,197","6,153"
"T20060027407","45,367","105,053"
"T20060027493","55,789","4,223"
"T20060027531","55,790","101,008"
"T20060027660","49,826","7,675"
"T20060027663","35,315","6,359"
"T20060027680","37,788","5,457"
"T20060027694","39,715","5,163"
"T20060027757","57,530","5,678"
"T20060027836","48,218","100,111"
"T20060027850","35,308","1,001"
"T20060027850","35,308","9,286"
"T20060027922","35,646","8,529"
"T20060027928","37,945","102,352"
"T20060027950","11,083","5,703"
"T20060027988","276","9,601"
"T20060027994","410","9,023"
"T20060028020","36,448","6,458"
"T20060028079","29,770","6,654"
"T20060028130","39,051","104,069"
"T20060028137","43,096","6,203"
"T20060028175","50,223","7,820"
"T20060028179","50,154","7,784"
"T20060028190","37,894","9,038"
"T20060028278","793","1,000"
"T20060028278","793","6,086"
"T20060028300","222,023","6,378"
"T20060028322","57,885","2,242"
"T20060028360","998","8,740"
"T20060028615","46,521","5,127"
"T20060028616","44,463","7,708"
"T20060028641","10,381","1,002"
"T20060028685","35,387","9,426"
"T20060028695","36,083","9,213"
"T20060028740","119","9,473"
"T20060028753","44,222","8,628"
"T20060028803","47,013","5,822"
"T20060028808","47,029","9,370"
"T20060028838","55,819","1,152"
"T20060028854","39,558","5,308"
"T20060028892","35,714","9,155"
"T20060028919","29,386","9,210"
"T20060028963","50,981","100,361"
"T20060028993","43,147","6,275"
"T20060029068","39,553","5,284"
"T20060029110","50,643","7,974"
"T20060029134","29,746","6,456"
"T20060029202","37,164","8,624"
"T20060029399","41,116","9,559"
"T20060029400","50,214","7,814"
"T20060029421","205,590","5,272"
"T20060029433","39,281","5,375"
"T20060029444","29,396","9,329"
"T20060029482","35,778","1,028"
"T20060029487","42,658","6,174"
"T20060029596","54,437","9,161"
"T20060029605","84","5,272"
"T20060029635","49,244","105,426"
"T20060029636","40,724","5,402"
"T20060029701","46,695","6,038"
"T20060029731","531","1,015"
"T20060029751","55,831","4,204"
"T20060029812","29,885","6,549"
"T20060029825","38,155","9,047"
"T20060029866","329","5,267"
"T20060029871","36,189","8,739"
"T20060029879","55,834","1,208"
"T20060030046","48,778","8,624"
"T20060030069","42,123","101,320"
"T20060030079","29,491","9,007"
"T20060030085","40,914","5,669"
"T20060030108","37,282","9,340"
"T20060030121","38,993","5,200"
"T20060030126","41,804","5,892"
"T20060030150","15,202","3,087"
"T20060030159","53,412","5,736"
"T20060030176","1,248","8,753"
"T20060030239","1,175","6,546"
"T20060030281","41,910","5,791"
"T20060030304","36,210","9,279"
"T20060030311","45,400","9,169"
"T20060030324","45,623","9,093"
"T20060030336","41,921","5,745"
"T20060030389","38,871","5,293"
"T20060030409","39,137","103,334"
"T20060030416","52,314","100,633"
"T20060030501","41,155","102,285"
"T20060030558","45,189","8,775"
"T20060030632","24,378","6,509"
"T20060030676","44,117","105,595"
"T20060030693","41,455","5,929"
"T20060030707","39,748","5,146"
"T20060030740","41,873","5,806"
"T20060030745","29,386","9,210"
"T20060030807","46,327","6,202"
"T20060030896","55,848","5,337"
"T20060030952","205,839","1,005"
"T20060030967","38,336","5,068"
"T20060030996","37,633","106,079"
"T20060031010","43,935","106,073"
"T20060031034","40,093","9,514"
"T20060031045","38,468","5,044"
"T20060031051","54,191","9,407"
"T20060031078","43,811","5,369"
"T20060031144","44,195","8,863"
"T20060031172","37,200","9,380"
"T20060031217","35,705","8,760"
"T20060031222","37,164","8,624"
"T20060031236","37,694","100,906"
"T20060031243","70,759","6,386"
"T20060031248","51,821","4,263"
"T20060031267","36,693","9,262"
"T20060031303","876","6,270"
"T20060031389","41,749","5,734"
"T20060031395","43,975","6,818"
"T20060031410","43,430","6,693"
"T20060031618","222,083","1,002"
"T20060031622","43,975","6,818"
"T20060031648","119","9,473"
"T20060031663","55,348","3,111"
"T20060031664","36,210","9,279"
"T20060031700","53,383","5,629"
"T20060031701","207,944","2,355"
"T20060031837","45,214","104,270"
"T20060031892","46,387","7,701"
"T20060031936","45,825","100,829"
"T20060031974","56,079","8,857"
"T20060031991","29,961","1,319"
"T20060032011","29,386","9,210"
"T20060032025","637","5,647"
"T20060032115","801","6,166"
"T20060032116","53,139","2,134"
"T20060032125","44,014","6,846"
"T20060032136","42,805","6,348"
"T20060032169","29,557","103,332"
"T20060032193","29,375","9,241"
"T20060032225","43,933","6,713"
"T20060032314","40,894","5,517"
"T20060032483","55,862","104,921"
"T20060032490","15,411","7,747"
"T20060032504","36,135","104,544"
"T20060032516","50,536","7,641"
"T20060032556","329","5,267"
"T20060032602","26,505","102,805"
